Callsign nummer; ms; temp1; temp2; temp3; trykk; moh;
CanSat 2478;662001;12,02; 12,07;  13,52;  101910,87;  60,06;
CanSat 2479;662268;12,02; 12,07;  13,52;  101920,57;  59,40;
CanSat 2480;662536;12,02; 12,07;  13,52;  101937,03;  57,96;
CanSat 2481;662803;12,02; 12,07;  13,52;  101949,07;  57,06;
CanSat 2482;663071;12,02; 12,07;  13,52;  101962,03;  56,04;
CanSat 2483;663337;12,02; 12,07;  13,52;  101970,47;  55,51;
CanSat 2484;663606;12,02; 12,07;  13,51;  101983,75;  54,37;
CanSat 2485;663873;12,11; 12,07;  13,51;  101992,82;  53,46;
CanSat 2486;664140;12,11; 12,07;  13,51;  102006,43;  52,17;
CanSat 2487;664407;12,11; 12,07;  13,51;  102018,97;  51,49;
CanSat 2488;664674;12,11; 12,07;  13,51;  102026,17;  50,80;
CanSat 2489;664941;12,11; 12,07;  13,51;  102035,03;  50,00;
CanSat 2490;665207;12,11; 12,07;  13,51;  102050,58;  48,75;
CanSat 2491;665476;12,11; 12,07;  13,50;  102060,18;  47,30;
CanSat 2492;665744;12,11; 12,07;  13,50;  102072,56;  46,48;
CanSat 2493;666012;12,11; 12,07;  13,50;  102088,11;  45,73;
CanSat 2494;666278;12,11; 12,07;  13,50;  102102,76;  44,56;
CanSat 2495;666546;12,11; 12,07;  13,50;  102114,21;  43,30;
CanSat 2496;666813;12,11; 12,07;  13,49;  102126,75;  42,47;
CanSat 2497;667080;12,11; 12,07;  13,47;  102132,97;  42,23;
CanSat 2498;667347;12,11; 12,07;  13,48;  102133,36;  42,28;
CanSat 2499;667614;12,11; 12,07;  13,47;  102130,86;  42,43;
CanSat 2500;667881;12,11; 12,07;  13,47;  102129,97;  42,03;
